GCLAverageExpertLogPtau,Entropy,GCLMedianExpertLogQtau,GCLMedianLogQtau,AvgRewardCtrl,AvgRewardContact,GCLAverageEnergy,ProcessExecTime,PolicyExecTime,AveragePolicyStd,GCLAverageExpertEnergy,GCLLogZ,ExplainedVariance,Iteration,ItrTime,MinReturn,IRLLoss,MeanKLBefore,NumTrajs,LossBefore,EnvExecTime,Perplexity,IRLRewardMin,GCLAverageLogPtau,AverageReturn,AvgRewardFlipped,IRLRewardMax,IRLRewardMean,Time,OriginalTaskAverageReturn,GCLAverageLogQtau,AvgRewardFwd,StdReturn,GCLDiscrimLoss,dLoss,GCLAverageExpertLogQtau,AverageDiscountedReturn,MaxReturn,LossAfter,GCLAverageDtau,GCLAverageExpertDtau,MeanKL
-7.05343,11.3511,-13.1295,-11.0146,-0.100716117827,-0.00228317054977,17.09,0.10642433166503906,0.3381812572479248,1.00059,7.26414,-0.158575,0.983206184235,33,8.498671293258667,-8910.98298264,0.233045,0.0,20,-1.13510918617,6.566400051116943,85058.1,-31.1191,-16.9314,-8409.58046072,0.0,-5.11795,-16.8192,292.708927154541,-39.260478398,-11.3564,0.0244783315807,266.743957727,0.233045,0.0620505809784,-13.57,-1712.14990639,-7848.12613583,-1.19715976715,0.0853842,0.931041,0.00977505370975
-6.70099,11.3666,-13.1021,-11.0152,-0.100052231774,-0.00229949335694,16.7515,0.10081171989440918,0.3054656982421875,1.00262,6.91599,-0.176759,0.984579393051,34,8.419397592544556,-8510.58910465,0.282631,0.0,20,-1.1366559267,6.5678887367248535,86384.4,-30.5226,-16.5747,-8191.52738001,0.0,-5.92727,-16.3831,301.13467144966125,-47.0647824855,-11.3524,0.00822216015985,208.545232984,0.282631,0.0487102270126,-13.5485,-1678.78514293,-7777.37780094,-1.18536615372,0.0942737,0.938026,0.0064955339767
-6.31812,11.3515,-13.0405,-11.0259,-0.0991492924042,-0.00227967282498,16.6114,0.10354042053222656,0.3138871192932129,1.0008,6.54097,-0.197101,0.983905282699,35,8.406675338745117,-8375.29801941,0.239063,0.0,20,-1.13515424728,6.512447357177734,85096.9,-30.0519,-16.4143,-8136.9639843,0.0,-3.88987,-16.2739,309.54763078689575,-58.181586404,-11.3491,-0.0149342075788,175.602063321,0.239063,0.0491156578064,-13.4978,-1667.03336697,-7635.95404196,-1.18426990509,0.0990639,0.945494,0.00646041193977
-6.25502,11.343,-12.9955,-10.9997,-0.0983431302571,-0.00230138950081,16.7377,0.09045100212097168,0.31321048736572266,0.999681,6.49789,-0.227602,0.986720126862,36,8.314199447631836,-8685.40806866,0.185782,0.0,20,-1.13430356979,6.481010913848877,84375.5,-31.1683,-16.5101,-8249.92041004,0.0,-4.07078,-16.4998,317.8746180534363,-37.4020692522,-11.3222,0.0258403812536,174.78436064,0.185782,0.0499415397644,-13.4681,-1671.16228674,-7811.51843691,-1.18424510956,0.0950771,0.945524,0.00645305495709
-6.47259,11.3374,-12.9365,-10.9973,-0.0987858585625,-0.00232598536429,17.1151,0.1063086986541748,0.33635783195495605,0.998925,6.77793,-0.279167,0.984505480127,37,8.473883152008057,-8598.302248,0.217862,0.0,20,-1.13373792171,6.528039455413818,83899.6,-29.3789,-16.8359,-8380.11819208,0.0,-5.57826,-16.7602,326.3548946380615,-46.2137308483,-11.3325,0.00868438223025,194.316616549,0.217862,0.0511138439178,-13.4009,-1705.78919078,-7963.10013723,-1.18485176563,0.0823565,0.936838,0.00647339876741
-6.85857,11.3396,-12.9818,-10.9958,-0.099275299184,-0.00228646803945,17.6301,0.10426473617553711,0.31333208084106445,0.999316,7.16548,-0.312588,0.985674900927,38,8.493169069290161,-8947.26800632,0.174279,0.0,20,-1.1339558363,6.61272668838501,84082.8,-32.6398,-17.3176,-8662.77951109,0.0,-4.77508,-17.3256,334.854647397995,-41.342062323,-11.3277,0.0188776425774,212.413092116,0.174279,0.0532284975052,-13.457,-1758.54889175,-7985.902143,-1.1871843338,0.0673768,0.925967,0.00646323850378
-6.74665,11.3427,-13.0019,-11.0153,-0.0987877543416,-0.00231953115919,17.8792,0.1155862808227539,0.32440924644470215,0.999685,7.04212,-0.33011,0.985506852328,39,8.448456048965454,-9033.19472122,0.22077,0.0,20,-1.13426542282,6.544811248779297,84343.4,-32.0919,-17.5491,-8711.57299061,0.0,-5.56011,-17.4231,343.3097140789032,-38.2819136378,-11.3413,0.0245434582253,248.849055462,0.22077,0.0639152526855,-13.4837,-1768.2868576,-8007.80542612,-1.19818067551,0.0621378,0.928994,0.00999062880874
-6.47782,11.3469,-13.034,-11.0149,-0.0988694521973,-0.00233059439253,17.7283,0.10248160362243652,0.3519587516784668,1.00011,6.75037,-0.336939,0.985529732904,40,8.46132755279541,-8933.31662703,0.181063,0.0,20,-1.13469278812,6.5721518993377686,84704.6,-33.6971,-17.3914,-8691.20311797,0.0,-5.81619,-17.3824,351.7774701118469,-31.1465719247,-11.3492,0.0389069027405,149.318844248,0.181063,0.049587726593,-13.5113,-1744.0959865,-8304.53835535,-1.18428051472,0.0656664,0.936748,0.00647210562602
-6.144,11.3445,-12.9546,-11.0171,-0.0998957985406,-0.00230746136023,17.4261,0.10080265998840332,0.3175539970397949,0.999751,6.40417,-0.337726,0.984339167096,41,8.516534328460693,-8846.57542133,0.164017,0.0,20,-1.13445150852,6.635022878646851,84500.6,-31.9909,-17.0884,-8585.70723419,0.0,-4.62212,-17.1714,360.30059361457825,-37.2356184431,-11.3336,0.0277320230146,153.374475113,0.164017,0.0487110614777,-13.4483,-1728.17091616,-8354.02272129,-1.18316257,0.0776184,0.94244,0.00644295942038
-6.14515,11.3433,-12.9474,-11.019,-0.098721893571,-0.00227781313828,17.5977,0.09644222259521484,0.3279542922973633,0.999579,6.3772,-0.315017,0.984819613639,42,8.44523286819458,-9140.5120039,0.129155,0.0,20,-1.13433372974,6.569572687149048,84401.7,-30.9321,-17.2827,-8691.48457785,0.0,-5.70911,-17.383,368.75731444358826,-34.2276222806,-11.3201,0.032544462148,159.000951281,0.129155,0.048271894455,-13.4362,-1733.85057909,-8464.4669857,-1.1826056242,0.0668842,0.941977,0.0065213968046
